Precomputed Exp Tables,DLSE 266,#Gates: 33880,
Round,Fake Offline,Online,
0,2.860851,0.000000,
Precomputed Exp Tables,DLSE 266,#Gates: 33880,
Round,Fake Offline,Online,
0,141.533716,6.159820,
,Precomputed Exp Tables,DLSE 266,#Gates: 33880,
Round,Fake Offline,Online,
0,156.894637,7.394823,
,Precomputed Exp Tables,DLSE 266,#Players: 3,#Gates: 33880,
Round,Fake Offline,Online,
0,168.387421,10.341166,
1,96.315587,2.800122,
,Precomputed Exp Tables,DLSE 266,#Players: 3,#Gates: 33880,
Round,Fake Offline,Online,
0,53.223703,2.810103,
1,103.839799,2.785182,
,#Players: 3,#Gates: 33880,Precomputed Exp Tables,DLSE 266,
Round,Fake Offline,Online,
0,107.736083,6.608859,
